date,count,eta
2014-09-05 06:00:00,60.0,0
2014-09-05 08:00:00,89.0,0
2014-09-05 10:00:00,120.0,0.46
2014-09-05 12:00:00,320.0,0.51
2014-09-05 14:00:00,180.0,0.52
2014-09-05 16:00:00,140.0,0.52
2014-09-05 18:00:00,200.0,0.53
2014-09-05 20:00:00,160.0,0.53
2014-09-05 22:00:00,100.0,0.51
2014-09-06 00:00:00,170.0,0.51
2014-09-06 02:00:00,150.0,0.51
2014-09-06 04:00:00,100.0,0.5
2014-09-06 06:00:00,58.0,0.48
2014-09-06 08:00:00,44.0,0.46
2014-09-06 10:00:00,48.0,0.45
2014-09-06 12:00:00,84.0,0.45
2014-09-06 14:00:00,140.0,0.46
2014-09-06 16:00:00,100.0,0.46
2014-09-06 18:00:00,140.0,0.46
2014-09-06 20:00:00,77.0,0.46
2014-09-06 22:00:00,53.0,0.45
2014-09-07 00:00:00,110.0,0.44
2014-09-07 02:00:00,100.0,0.44
2014-09-07 04:00:00,120.0,0.44
2014-09-07 06:00:00,75.0,0.44
2014-09-07 08:00:00,62.0,0.44
2014-09-07 10:00:00,65.0,0.44
2014-09-07 12:00:00,260.0,0.47
2014-09-07 14:00:00,160.0,0.48
2014-09-07 16:00:00,62.0,0.47
2014-09-07 18:00:00,83.0,0.45
2014-09-07 20:00:00,120.0,0.46
2014-09-07 22:00:00,61.0,0.45
2014-09-08 00:00:00,110.0,0.45
2014-09-08 02:00:00,150.0,0.47
2014-09-08 04:00:00,64.0,0.46
2014-09-08 06:00:00,67.0,0.45
2014-09-08 08:00:00,57.0,0.44
2014-09-08 10:00:00,66.0,0.44
2014-09-08 12:00:00,120.0,0.44
2014-09-08 14:00:00,96.0,0.44
2014-09-08 16:00:00,110.0,0.45
2014-09-08 18:00:00,180.0,0.47
2014-09-08 20:00:00,120.0,0.47
2014-09-08 22:00:00,94.0,0.46
2014-09-09 00:00:00,100.0,0.45
2014-09-09 02:00:00,79.0,0.45
2014-09-09 04:00:00,75.0,0.44
2014-09-09 06:00:00,43.0,0.43
